Temperatura,Personas,Electrodomesticos,Consumo_kWh
21.77650838153547,4.0,11.0,47.81216949075446
23.46037035890431,4.0,7.0,45.367993844315926
18.75750551885546,2.0,8.0,34.820372008044416
30.46739123909739,1.0,20.0,62.07841819428184
25.590462401192084,5.0,6.0,46.255017702270855
25.17708085731851,2.0,15.0,48.54719160350762
21.105321974765157,4.0,9.0,48.5344454275983
21.623728226244683,4.0,18.0,61.20012152638768
26.42849043750295,1.0,9.0,42.772682048083816
28.511453585846432,5.0,13.0,61.90345179665037
29.000875627765552,4.0,,57.34873049161483
21.768063508155898,3.0,16.0,55.15218149195306
22.28350674196552,4.0,9.0,48.71638804200663
23.655401088409214,4.0,17.0,
20.691095532308683,2.0,,58.99092395408487
18.45367540245989,5.0,19.0,64.19547702115386
22.83229592765097,5.0,11.0,55.32211943602393
24.366613256330133,3.0,20.0,64.46180454629518
24.61852088507832,4.0,14.0,58.279667769417216
21.622321711423098,1.0,7.0,28.484856301749502
18.709804724525036,2.0,14.0,49.21277041268381
24.496330066255464,4.0,20.0,69.9133826185279
24.004988659830268,1.0,18.0,54.4423406877495
17.40476541266932,2.0,18.0,55.049690285165426
26.744146312690866,4.0,15.0,66.6108931040844
25.799149225486282,3.0,9.0,43.367398052612515
21.790664851462566,5.0,14.0,63.481199738289526
15.728791528364425,1.0,15.0,38.80248232433907
15.929310816386543,2.0,14.0,48.342666037281276
24.17227361681376,,14.0,50.762149052018856
19.372776489246554,4.0,9.0,49.99841629574336
20.629468218387082,2.0,14.0,49.72410174589505
16.355556370863315,4.0,14.0,53.04382201413548
26.11630125515705,3.0,6.0,43.647901669542996
12.541056768073924,3.0,8.0,33.07308797093767
21.761650045618634,,13.0,47.587185903096874
23.77597611844407,3.0,,56.42164736025618
25.059678814864668,4.0,12.0,55.398867917206935
24.411264400581334,5.0,16.0,59.04282197410929
15.902345122473893,1.0,16.0,47.764461936636835
19.93753665134894,2.0,9.0,39.49228261815788
18.277334275043405,3.0,14.0,49.113784896172135
16.139517267550016,4.0,10.0,37.037499977727734
13.198617747983482,1.0,9.0,26.039519353123048
24.392894761835386,4.0,,63.0820074761054
27.897943179507735,1.0,16.0,55.1564746341149
19.142921182613815,5.0,13.0,58.09735126699384
25.832892896783925,2.0,17.0,57.12987372887174
24.683067509391346,4.0,12.0,60.30991605885693
17.478994295017948,3.0,10.0,36.90182677297705
21.427592172356103,,16.0,47.60033645428278
22.20777656283179,4.0,12.0,44.991826597659596
25.6957902561873,4.0,10.0,51.02430304688673
22.548577170290248,3.0,11.0,50.918959568531214
13.285411508437841,3.0,20.0,54.753582017669
31.15446823575534,5.0,10.0,63.23380212113851
23.945047439602735,2.0,20.0,54.78798513319184
17.028889058468486,4.0,20.0,63.08691189366158
14.31321176756875,1.0,18.0,43.11225387535556
17.642504631933082,1.0,18.0,46.57431656943916
20.24709429849017,5.0,13.0,58.176928765771706
18.604096899558645,2.0,16.0,48.2810767260237
19.623512192288462,4.0,10.0,45.81008640999781
16.902595928241958,1.0,12.0,
24.777365399922683,1.0,9.0,32.1349718550631
16.75802799825579,4.0,18.0,57.91483761963982
24.69438820375276,5.0,19.0,72.1795514811177
25.394061574142494,1.0,5.0,32.068976824559
14.481560350739542,4.0,15.0,50.89876506727978
19.638021673001397,4.0,17.0,55.14987978679948
26.546376189972943,5.0,7.0,48.12768825266066
22.78914117241928,3.0,11.0,46.613351249120434
26.331593354239395,5.0,7.0,52.427389633249255
,4.0,20.0,71.81830647745457
16.365392985733756,3.0,19.0,53.40152947465427
19.81886933914632,5.0,13.0,54.46471418163052
23.446583128577963,2.0,19.0,60.91441574562831
20.5817164694254,5.0,20.0,67.65976940749898
23.65090862851085,,5.0,33.73760060172728
29.3108900808049,3.0,7.0,49.34265682222728
20.9742341148184,2.0,8.0,35.61299214494691
23.064537066972182,4.0,19.0,
21.33308652146337,4.0,10.0,47.405398235864645
11.680031047645512,5.0,19.0,60.66616734521419
17.76951964147057,3.0,8.0,34.16006232566837
20.886788153104977,4.0,,48.52710225836896
19.649707132698133,1.0,7.0,32.76223833749413
25.918282205786827,5.0,14.0,62.601124385698306
27.347293213215394,4.0,5.0,40.171111531053604
18.471493861089453,3.0,8.0,40.55317337999925
27.276973814041543,1.0,18.0,57.39732343918066
19.31515938214005,4.0,14.0,56.73809729213124
23.451903786796368,4.0,5.0,41.57034412543869
19.9581689985152,2.0,9.0,38.08840763364258
15.19653044300612,1.0,10.0,35.78486360258476
18.021450117480367,5.0,20.0,67.59489070662256
13.67590465754232,4.0,16.0,54.78626152873788
25.984940887330275,2.0,14.0,54.06972749348274
28.738411741543874,2.0,11.0,50.08275679665341
26.48847053026766,3.0,19.0,63.82265962333314
20.40985093030667,3.0,20.0,58.165349825906475
25.465562332711954,5.0,9.0,49.53069413889602
12.199548491141524,2.0,18.0,44.248152850958824
27.114957578706573,5.0,8.0,129.7657428489159
31.250175428709984,2.0,15.0,60.701782679722
25.318722490589934,5.0,11.0,61.79688522012856
,3.0,12.0,48.9637510166583
26.16285146915215,1.0,,63.47466892601232
22.272449086032506,3.0,17.0,58.359450221744765
16.783198222907785,3.0,17.0,55.234944203174244
15.196086091479955,,18.0,54.89950135870767
20.831860393182808,5.0,6.0,45.437572646708404
22.105434789401542,5.0,17.0,63.499579248939774
9.095349110566021,2.0,19.0,41.887786297386796
36.5476663998445,3.0,20.0,75.89195241795335
19.77282698511874,4.0,15.0,
28.47849129869579,5.0,13.0,62.10182850628647
22.122775992638182,2.0,14.0,47.26162808981344
28.33518266178214,4.0,13.0,60.51309646346199
33.07937894563673,5.0,13.0,62.08786683086581
19.25834692800821,3.0,18.0,56.273630956855335
20.275853649418938,1.0,,47.89692474454554
24.967096843362377,3.0,18.0,59.70062066193642
26.89077668724125,3.0,,41.11518104152364
23.077900247720297,4.0,11.0,48.516641031777596
21.17573748534397,4.0,10.0,44.327193606674975
14.99412297533129,1.0,6.0,26.07684607402854
22.437391398963886,1.0,12.0,40.21687192982296
16.84978790710451,5.0,8.0,44.68048812513073
22.009166608776944,1.0,6.0,34.904206368066895
28.05924723627377,5.0,12.0,59.24024684437775
23.918947634785823,5.0,14.0,60.975399192819125
23.742263091348736,2.0,19.0,55.03531306081187
14.241535453192203,3.0,15.0,51.41212255929548
24.39627355038352,2.0,19.0,60.65528235259782
19.316973669034272,3.0,13.0,45.09944094639749
12.269216699668057,1.0,9.0,22.79601900719895
28.61327910375995,,12.0,61.40938136483039
20.723955869438424,5.0,18.0,65.63022748381248
22.197642576357488,5.0,15.0,53.66418484148528
24.35951731038992,1.0,12.0,40.288755430465514
28.29240265054566,3.0,11.0,52.010399625241696
18.225388944457073,3.0,11.0,48.1776059890143
29.290429826107356,3.0,19.0,64.89257905405523
21.77511821707464,1.0,9.0,34.156966393321454
17.97649664298715,3.0,,41.94833244957992
22.54727377936313,3.0,20.0,65.2087107191923
18.81516946923533,3.0,16.0,50.20398191639026
,5.0,14.0,51.07886412700072
29.524664410433086,2.0,10.0,44.02806375467654
12.544093690651055,3.0,20.0,52.4107164576791
22.327835588403754,2.0,15.0,50.484232940361686
21.91489521249184,2.0,15.0,48.23438065185112
20.422140902839217,4.0,12.0,59.93320957969112
19.66920746235507,2.0,,44.214426151614354
25.40210833234201,1.0,14.0,
18.969552887483733,4.0,18.0,58.63309953490863
7.526651632088132,2.0,7.0,27.715283100416542
14.451576631897035,1.0,12.0,41.798319839197966
20.45048038667833,1.0,,49.158445063044795
26.52690479785258,4.0,7.0,42.20464280113761
24.771124934116795,2.0,12.0,47.77856364243055
11.206726755117947,4.0,8.0,35.56956938989455
24.768109042198073,2.0,,33.809834587812595
22.537805370996068,4.0,9.0,48.00208392475574
19.36073654672218,5.0,13.0,55.59273536950895
19.449115397947168,1.0,10.0,36.31852885462342
24.928988446760993,2.0,11.0,47.008068405628435
23.45723881308114,5.0,7.0,49.16622004988831
16.947167783495974,5.0,14.0,55.80490383750051
16.55518500896148,4.0,12.0,49.51079525523087
22.552682454187813,1.0,6.0,32.01834106304461
31.262004877525204,1.0,10.0,49.40719107546271
27.251040070814852,5.0,20.0,74.04281270046921
24.971046164968534,5.0,12.0,57.40044831516177
,3.0,18.0,51.94901575462316
17.926038156720377,1.0,15.0,38.357955148065386
25.305191810871552,5.0,6.0,41.721491674520315
25.998809594645863,2.0,11.0,43.74624501455863
17.95503441665544,4.0,,61.304847783922604
21.159725695084155,4.0,17.0,63.87239414958092
17.808147298136273,2.0,15.0,47.64081081173918
19.09958491461352,3.0,15.0,51.2204274878518
27.02769904770232,1.0,18.0,57.75546935293203
20.582704701662728,2.0,13.0,46.8368637037773
17.351948329707035,3.0,11.0,42.32654398261958
,5.0,11.0,51.8339854006783
21.265023017511787,1.0,20.0,48.8086890271408
20.450883070209976,2.0,9.0,41.9384169348023
29.223396223016145,,20.0,60.67394948020594
17.736037096468188,3.0,16.0,52.92647315425258
17.21123414291116,4.0,6.0,34.06352336330374
25.133208958300852,4.0,15.0,62.59099918505791
23.08968744048616,1.0,13.0,39.79471155693129
21.970302968727662,1.0,9.0,37.68073547909602
22.805063094500163,4.0,20.0,70.12500508773596
19.690089435952924,5.0,12.0,54.60934942587721
22.380709623431947,3.0,8.0,43.077731135303374
25.81614159351684,1.0,19.0,57.835387665919534
16.391381533815398,4.0,13.0,49.59469794128439
26.436252548392748,3.0,18.0,67.14276323615347
27.341311424744358,1.0,8.0,38.45185124276434
,5.0,,57.823688380312255
36.48421034681071,2.0,12.0,60.033939227933786
31.433925655974384,1.0,18.0,61.81513053352775
,1.0,14.0,43.548137803561204
27.09839041574393,4.0,19.0,68.74545999488029
25.760686854578996,5.0,11.0,54.98077982867614
16.58844615537289,3.0,,39.76616599869698
24.574757828969105,3.0,16.0,58.989303135450164
,4.0,20.0,61.28783616793617
26.479104407504607,,18.0,69.05996067030387
17.14407775128526,2.0,,52.01908962637152
17.051867346624185,5.0,,65.84445329703962
31.439414386964895,1.0,12.0,
22.194227694966322,,18.0,61.30099772387818
25.88015146804569,2.0,9.0,43.76181697257853
26.94096191490067,5.0,8.0,54.100692447142755
21.340721069684353,2.0,15.0,47.94372571262563
19.91268409114647,4.0,8.0,45.16021343894615
24.55634391352698,2.0,8.0,40.18948335841643
30.943544401887458,,18.0,61.93487340594645
22.793137582876977,4.0,17.0,66.04212574810505
24.14247609689405,4.0,17.0,63.11684714083936
21.089220214142202,4.0,15.0,56.00649457791602
23.740975033431713,1.0,,55.00475376616917
19.51384501580842,1.0,20.0,
23.85263066778518,,5.0,40.821599751707645
26.961760351887897,2.0,8.0,129.97913868569998
29.20998565488578,1.0,18.0,50.66201113026581
26.735852773504824,4.0,7.0,
24.33207330520836,1.0,11.0,39.87662162106055
31.915733760162915,3.0,,68.46447703159618
21.728853487949547,3.0,7.0,41.057583590858265
21.149611822221676,2.0,12.0,46.645377869303026
12.894280366767921,4.0,15.0,54.22404265256098
23.6622215923874,3.0,20.0,63.03906719938776
25.408331297258197,3.0,13.0,154.84025988388797
27.634448599853666,3.0,7.0,43.26422168221412
21.487087218527208,4.0,12.0,49.68189104629137
33.666407615727266,4.0,13.0,60.89139867461278
26.47282750892436,3.0,14.0,53.453547037878
16.720070999150593,2.0,13.0,37.071362551532474
24.01471485882988,4.0,13.0,51.715345682979994
21.975423179702837,3.0,5.0,33.92050503386555
28.727151282498937,4.0,5.0,48.40647659183651
22.280591674504027,4.0,,46.717704131971
17.876974383800864,5.0,7.0,43.54753273875758
23.62983578814312,4.0,8.0,44.685921735808044
19.33220670938343,4.0,6.0,39.47448900176529
,4.0,6.0,32.45941987952409
17.817954454950986,5.0,10.0,51.788378907823585
22.797495843689582,4.0,7.0,40.10669408339082
19.31012014212729,,15.0,46.373912061689595
28.555071825284536,3.0,12.0,52.74842925371058
15.424882830005526,3.0,12.0,47.09262523220057
,2.0,,35.34244022180998
17.02580190913874,1.0,10.0,35.331840594845445
22.856930014059202,5.0,8.0,155.4989184397262
28.933277139239046,2.0,16.0,54.48747219370262
22.114896507920754,1.0,5.0,30.72508837520765
21.038330694946975,4.0,13.0,56.45901713703189
28.283880417339223,2.0,16.0,58.87613774641786
33.59590986265084,5.0,5.0,54.35743972308682
23.997748228347923,1.0,13.0,46.25424356684487
12.344525332993191,1.0,15.0,37.38990868987171
15.731394639643737,,10.0,32.50011150385103
24.74900017028378,3.0,5.0,39.49866447556581
23.899900173044795,3.0,19.0,59.29745637301133
11.351483094835807,1.0,12.0,32.29019643965688
,1.0,20.0,
25.22523371716911,4.0,11.0,49.394918705322794
15.292408627383558,1.0,18.0,49.41601257526474
30.19704022361837,5.0,18.0,73.20425822705934
22.888308749881443,3.0,12.0,55.11699071889312
24.819048963798593,,13.0,45.601193372015345
19.290743804408493,2.0,19.0,53.93990030477507
30.57518854027493,1.0,13.0,51.492303420193075
33.79287078312298,1.0,14.0,56.66037573389692
23.013492273132222,4.0,9.0,46.57759019768627
29.665615292828214,3.0,16.0,58.5579219262953
16.52506933209962,3.0,5.0,30.83903450012922
22.38311707595447,5.0,20.0,71.2916763073766
17.420610938212747,3.0,9.0,39.926997470249816
21.260186236991366,1.0,17.0,48.35734569915616
17.532264944281756,3.0,12.0,48.40749074362572
20.64643958888764,2.0,12.0,44.49441686656585
25.41346771475037,2.0,8.0,40.55787383006313
13.931360116835519,1.0,16.0,45.70761661633004
15.844987654610033,,19.0,50.94076174216574
20.07881069197856,,15.0,52.33748849671004
25.182166117790906,2.0,13.0,48.74547752135416
30.869922284971295,5.0,17.0,71.1316745559733
20.201027050137846,2.0,,43.77531167220905
21.80113752381518,1.0,14.0,40.23807753170821
19.76660380376858,4.0,18.0,58.386753708004676
19.05059560821657,2.0,10.0,40.636925397998716
22.780541695696073,4.0,13.0,55.19451249850125
19.705148886938506,3.0,16.0,50.376881980613284
26.014846904855958,4.0,17.0,62.92759572840534
,1.0,15.0,44.43242350059804
25.114344549858373,5.0,7.0,50.500649574742496
27.45217871952698,5.0,17.0,69.60783444399269
,2.0,18.0,52.55601228433268
18.341503434138904,,14.0,49.044595569937655
24.288146612844532,4.0,6.0,43.8197762973373
25.592499500507927,4.0,17.0,65.94048904687688
21.07921909858279,5.0,19.0,62.457488109055404
29.50593368468965,4.0,6.0,49.09930300977056
21.316763916034123,,,35.9627710499029
19.453073944061277,1.0,19.0,52.72524071993966
18.96099205642961,1.0,8.0,30.502828950830445
23.48148130164677,1.0,14.0,49.271908623544206
25.695553836969612,4.0,8.0,45.632485307979344
21.04362342557274,,14.0,52.37759559504961
27.265818700062038,3.0,13.0,54.17154272355468
31.800430701537017,5.0,16.0,72.02101418860747
17.99682822404119,5.0,12.0,51.733629381703985
25.51158232799626,5.0,19.0,72.31609543029727
29.161227934491365,1.0,13.0,51.482715002700886
19.305486220466005,4.0,16.0,57.877425921495735
15.878497356364411,2.0,13.0,43.65696867144703
25.042521341201592,,17.0,
24.131695461130263,3.0,12.0,52.35016880446955
18.731591418016283,1.0,6.0,29.34897281593126
24.735109510670316,3.0,18.0,63.729335547759426
23.816079080518044,5.0,19.0,65.08583993724898
21.254102126236013,2.0,18.0,60.50101526876457
25.02518621914486,2.0,17.0,61.96484813284993
20.673662944274394,1.0,14.0,46.2194318655242
24.903644028621873,5.0,16.0,65.30670819680579
9.525685775317054,1.0,10.0,26.97830265689079
19.795140405533463,2.0,11.0,41.5943520810913
22.36904638208501,3.0,13.0,47.83405586169569
16.324045638711194,3.0,11.0,45.28453221326417
20.776015304871354,1.0,13.0,41.6417774645672
18.985610069622897,1.0,16.0,47.04052672901201
22.24947494092986,3.0,12.0,52.239348938594134
15.511104420610788,2.0,12.0,43.249429106967206
15.443252061257706,1.0,8.0,31.733190318961334
16.403282952113905,5.0,17.0,58.70326036591072
16.97042293405763,3.0,6.0,31.6298811644037
16.307132161583404,5.0,14.0,53.0035385750421
21.58466998709432,3.0,9.0,40.72615985241146
31.353441842662562,4.0,,
26.28480693652397,5.0,,56.44058886701584
13.962214484362024,4.0,9.0,35.01705017192102
28.30319140348002,3.0,17.0,
25.32159630172126,2.0,17.0,53.33514950549992
21.42423320594868,2.0,18.0,55.17985557083931
16.432409231051757,5.0,19.0,60.22852637724489
30.068091565425195,1.0,12.0,50.66734598387001
17.1488758506826,1.0,18.0,47.13138768990928
20.33464559324475,4.0,14.0,58.93966272001525
30.399550363876703,2.0,6.0,
23.594708755871157,1.0,15.0,
25.63966592037459,5.0,14.0,61.44612518286826
22.007754026050296,1.0,6.0,31.267190732639406
21.23363950023227,3.0,11.0,44.79501891356619
22.647003798803926,5.0,18.0,64.98518982788309
28.707157713145023,1.0,20.0,60.23614494188752
22.20932218138323,2.0,16.0,54.50228952533319
25.32943732865065,4.0,5.0,43.25032740373826
15.613826216842053,5.0,6.0,41.97600046891484
24.65887403819095,2.0,,57.7580795404509
23.83511131883349,4.0,6.0,41.68392051077038
22.6802769128175,4.0,12.0,53.679087410785236
28.034276165229382,5.0,9.0,54.693563078985555
29.575987907150058,2.0,10.0,52.15359588204295
27.33177146256702,5.0,5.0,41.3008431811823
22.855596421010354,1.0,8.0,40.00923216687251
23.253990760950085,1.0,19.0,61.5013270838835
23.23863457759802,1.0,20.0,58.461780804404306
26.74926552031613,4.0,12.0,58.725377584051195
,3.0,8.0,39.93954203690626
13.953776588954067,1.0,14.0,37.29115442336087
27.71085726592943,2.0,14.0,54.041094861967444
14.51336842462673,4.0,12.0,41.76717968309167
